id;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
0;58;management;married;tertiary;no;2143;yes;no;unknown;5;may;261;1;-1;0;unknown;no
1;44;technician;single;secondary;no;29;yes;no;unknown;5;may;151;1;-1;0;unknown;no
2;33;entrepreneur;married;secondary;no;2;yes;yes;unknown;5;may;76;1;-1;0;unknown;no
3;47;blue-collar;married;unknown;no;1506;yes;no;unknown;5;may;92;1;-1;0;unknown;no
4;33;unknown;single;unknown;no;1;no;no;unknown;5;may;198;1;-1;0;unknown;no
5;35;management;married;tertiary;no;231;yes;no;unknown;5;may;139;1;-1;0;unknown;no
6;28;management;single;tertiary;no;447;yes;yes;unknown;5;may;217;1;-1;0;unknown;no
7;42;entrepreneur;divorced;tertiary;yes;2;yes;no;unknown;5;may;380;1;-1;0;unknown;no
8;58;retired;married;primary;no;121;yes;no;unknown;5;may;50;1;-1;0;unknown;no
9;43;technician;single;secondary;no;593;yes;no;unknown;5;may;55;1;-1;0;unknown;no
10;41;admin.;divorced;secondary;no;270;yes;no;unknown;5;may;222;1;-1;0;unknown;no
11;29;admin.;single;secondary;no;390;yes;no;unknown;5;may;137;1;-1;0;unknown;no
12;53;technician;married;secondary;no;6;yes;no;unknown;5;may;517;1;-1;0;unknown;no
13;58;technician;married;unknown;no;71;yes;no;unknown;5;may;71;1;-1;0;unknown;no
14;57;services;married;secondary;no;162;yes;no;unknown;5;may;174;1;-1;0;unknown;no
15;51;retired;married;primary;no;229;yes;no;unknown;5;may;353;1;-1;0;unknown;no
16;45;admin.;single;unknown;no;13;yes;no;unknown;5;may;98;1;-1;0;unknown;no
17;57;blue-collar;married;primary;no;52;yes;no;unknown;5;may;38;1;-1;0;unknown;no
18;60;retired;married;primary;no;60;yes;no;unknown;5;may;219;1;-1;0;unknown;no
19;33;services;married;secondary;no;0;yes;no;unknown;5;may;54;1;-1;0;unknown;no
20;28;blue-collar;married;secondary;no;723;yes;yes;unknown;5;may;262;1;-1;0;unknown;no
21;56;management;married;tertiary;no;779;yes;no;unknown;5;may;164;1;-1;0;unknown;no
22;32;blue-collar;single;primary;no;23;yes;yes;unknown;5;may;160;1;-1;0;unknown;no
23;25;services;married;secondary;no;50;yes;no;unknown;5;may;342;1;-1;0;unknown;no
24;40;retired;married;primary;no;0;yes;yes;unknown;5;may;181;1;-1;0;unknown;no
25;44;admin.;married;secondary;no;-372;yes;no;unknown;5;may;172;1;-1;0;unknown;no
26;39;management;single;tertiary;no;255;yes;no;unknown;5;may;296;1;-1;0;unknown;no
27;52;entrepreneur;married;secondary;no;113;yes;yes;unknown;5;may;127;1;-1;0;unknown;no
28;46;management;single;secondary;no;-246;yes;no;unknown;5;may;255;2;-1;0;unknown;no
29;36;technician;single;secondary;no;265;yes;yes;unknown;5;may;348;1;-1;0;unknown;no
30;57;technician;married;secondary;no;839;no;yes;unknown;5;may;225;1;-1;0;unknown;no
31;49;management;married;tertiary;no;378;yes;no;unknown;5;may;230;1;-1;0;unknown;no
32;60;admin.;married;secondary;no;39;yes;yes;unknown;5;may;208;1;-1;0;unknown;no
33;59;blue-collar;married;secondary;no;0;yes;no;unknown;5;may;226;1;-1;0;unknown;no
34;51;management;married;tertiary;no;10635;yes;no;unknown;5;may;336;1;-1;0;unknown;no
35;57;technician;divorced;secondary;no;63;yes;no;unknown;5;may;242;1;-1;0;unknown;no
36;25;blue-collar;married;secondary;no;-7;yes;no;unknown;5;may;365;1;-1;0;unknown;no
37;53;technician;married;secondary;no;-3;no;no;unknown;5;may;1666;1;-1;0;unknown;no
38;36;admin.;divorced;secondary;no;506;yes;no;unknown;5;may;577;1;-1;0;unknown;no
39;37;admin.;single;secondary;no;0;yes;no;unknown;5;may;137;1;-1;0;unknown;no
40;44;services;divorced;secondary;no;2586;yes;no;unknown;5;may;160;1;-1;0;unknown;no
41;50;management;married;secondary;no;49;yes;no;unknown;5;may;180;2;-1;0;unknown;no
42;60;blue-collar;married;unknown;no;104;yes;no;unknown;5;may;22;1;-1;0;unknown;no
43;54;retired;married;secondary;no;529;yes;no;unknown;5;may;1492;1;-1;0;unknown;no
